#{"t_start": 1780229701.4484913, "env_id": "VisionRallyDriving-v0"}
r,l,t
466.0367,22,39.697129
-1425.106986,186,41.202403
-86.700754,30,41.41482
69.-1804.219168,236,50.876722
58.122951,23,52.70.622576,22,82.19761
69.195007,22,82.371134
60.642618,23,82.552904
-3022.576948,501,86.600755
-61.933384,24,86.785776
6.680051,30,128.934105
-133.686119,36,129.229799
62.072613,22,129.420043
65.441375,22,129.611635
-1252.833759,86,130.370414
64.473709,23,178.502678
-3411.58766,501,183.353855
65.979258,23,183.548031
29.4599,23,183.730446
59.502873,23,183.918169
69.56357,22,229.19248
-2048.571456,244,231.692075
58.786687,23,231.901726
70.828584,22,232.104475
61.72494,22,232.312121
65.214301,22,277.568933
130.727935,29,277.800337
136.917786,29,278.02894
68.54954,22,278.210714
62.791464,22,278.396283
70.891162,22,325.457221
-1.518223,31,325.718914
65.427747,22,325.910564
-106.389306,31,326.154638
-4034.227184,501,330.895442
69.491935,22,375.51056
58.868455,23,375.745389
-3824.831581,501,381.012096
-45.325319,23,381.220577
71.365891,23,381.433239
49.90459,23,429.938374
65.95165,22,430.127007
-47.639128,23,430.319865
74.442496,22,430.511546
69.496755,22,430.704456
75.104458,22,482.924207
63.591659,23,483.133613
368.159628,88,483.830542
-39.463639,23,484.043309
-8.332263,31,484.304343
-87.761536,30,535.015012
63.094514,23,535.223936
-44.803208,23,535.440928
12.903465,30,535.728436
-44.854072,23,535.953532
69.901625,22,584.931672
73.480909,22,585.175379
66.236273,22,585.417821
68.80105,23,585.71494
64.924349,22,585.950434
-137.468836,32,638.723491
124.45962,30,638.987761
63.097333,23,639.204285
73.157707,23,639.422966
61.405228,23,639.63318
63.67273,22,691.257932
-42.331146,23,691.460327
-41.934507,23,691.662596
71.021843,22,691.861671
60.404381,23,692.069863
60.629674,22,737.644011
-46.712467,23,737.857753
60.018815,23,738.096587
68.223753,23,738.313741
-52.542786,23,738.523548
2.601302,30,786.092448
70.376295,22,786.29195
72.948752,22,786.493218
68.652298,22,786.691663
68.749121,23,786.914567
